City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
141,Zamora,EC,-4.0692,-78.9567,81.16,49,34,4.72,scattered clouds,2022-07-28 20:06:39
142,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.95,86,89,16.04,overcast clouds,2022-07-28 20:05:52
143,Kaitangata,NZ,-46.2817,169.8464,41.77,92,100,8.77,overcast clouds,2022-07-28 20:04:33
144,Baykit,RU,61.67,96.37,60.57,97,99,4.0,overcast clouds,2022-07-28 20:06:40
145,Lorengau,PG,-2.0226,147.2712,80.94,81,70,13.98,broken clouds,2022-07-28 20:01:43
146,Poya,NC,-21.35,165.15,63.79,85,0,6.2,clear sky,2022-07-28 20:06:40
147,Khani,GE,41.9563,42.9566,60.37,96,5,1.48,clear sky,2022-07-28 20:06:15
148,Ambilobe,MG,-13.2,49.05,66.67,88,15,3.4,few clouds,2022-07-28 20:06:41
149,Dutse,NG,11.7594,9.3392,76.46,72,100,9.8,overcast clouds,2022-07-28 20:06:41
150,Palembang,ID,-2.9167,104.7458,76.12,91,100,3.11,overcast clouds,2022-07-28 20:06:38
151,Bilma,NE,18.6853,12.9164,95.81,25,100,9.1,overcast clouds,2022-07-28 20:06:41
152,Upernavik,GL,72.7868,-56.1549,43.05,69,100,5.75,overcast clouds,2022-07-28 20:04:06
153,Severnyy,RU,50.677,36.5532,68.04,73,0,8.95,clear sky,2022-07-28 20:06:42
154,Iqaluit,CA,63.7506,-68.5145,62.53,36,90,15.35,overcast clouds,2022-07-28 20:00:13
155,Saldanha,ZA,-33.0117,17.9442,55.96,87,14,11.16,few clouds,2022-07-28 20:03:49
156,Bredasdorp,ZA,-34.5322,20.0403,52.81,74,0,6.33,clear sky,2022-07-28 20:03:59
157,Shingu,JP,33.7333,135.9833,76.17,92,68,4.68,broken clouds,2022-07-28 20:06:43
158,Haines Junction,CA,60.7522,-137.5108,50.9,88,100,1.43,overcast clouds,2022-07-28 20:06:43
159,Fenelon Falls,CA,44.5334,-78.7496,78.1,47,72,15.01,broken clouds,2022-07-28 20:06:43
160,Riyadh,SA,24.6877,46.7219,93.34,36,100,5.23,overcast clouds,2022-07-28 20:05:27
161,Arman,RU,59.7,150.1667,53.17,96,100,4.99,light rain,2022-07-28 20:06:44
162,Wladyslawowo,PL,54.7909,18.4009,60.35,87,6,5.75,clear sky,2022-07-28 20:06:44
163,Tasiilaq,GL,65.6145,-37.6368,41.16,94,100,3.94,overcast clouds,2022-07-28 20:04:31
164,Baghdad,IQ,33.3406,44.4009,94.91,15,0,10.36,clear sky,2022-07-28 20:05:47
165,Mulege,MX,26.8833,-111.9833,94.05,44,87,12.26,overcast clouds,2022-07-28 20:06:45
166,Meulaboh,ID,4.1363,96.1285,75.61,89,100,2.19,light rain,2022-07-28 20:01:36
167,Solo,PH,13.7469,120.9012,82.24,79,100,12.73,overcast clouds,2022-07-28 20:06:45
168,La Cruz,MX,23.9167,-106.9,88.07,62,42,9.17,scattered clouds,2022-07-28 20:06:45
169,Kulhudhuffushi,MV,6.6221,73.07,81.12,80,100,17.76,light rain,2022-07-28 20:06:46
170,Wagga Wagga,AU,-35.1167,147.3667,35.85,100,100,0.0,overcast clouds,2022-07-28 20:06:46
171,Mount Gambier,AU,-37.8333,140.7667,33.71,100,7,0.0,mist,2022-07-28 20:01:55
172,Mitsamiouli,KM,-11.3847,43.2844,75.96,74,37,7.83,light rain,2022-07-28 20:06:46
173,San Matias,BO,-16.3667,-58.4,98.29,14,69,7.87,broken clouds,2022-07-28 20:06:47
174,Umkomaas,ZA,-30.2067,30.7978,64.67,91,16,11.9,few clouds,2022-07-28 20:06:47
175,Sinnamary,GF,5.3833,-52.95,81.0,82,77,8.37,broken clouds,2022-07-28 20:05:27
176,Kathu,TH,7.9178,98.3332,87.69,99,90,6.87,overcast clouds,2022-07-28 20:06:48
177,Ulladulla,AU,-35.35,150.4667,47.48,83,89,6.51,overcast clouds,2022-07-28 20:06:48
178,Baruun-Urt,MN,46.6806,113.2792,59.85,62,24,10.92,few clouds,2022-07-28 20:03:26
179,Dolgoye,RU,52.8,37.2167,63.28,89,100,9.78,overcast clouds,2022-07-28 20:06:48
180,Torbay,CA,47.6666,-52.7314,62.76,89,100,16.11,mist,2022-07-28 20:03:53
181,Mount Isa,AU,-20.7333,139.5,47.97,46,2,8.05,clear sky,2022-07-28 20:02:46
182,Santa Rosa,PH,14.3122,121.1114,82.11,90,100,5.21,overcast clouds,2022-07-28 20:04:20
183,Salta,AR,-24.7859,-65.4117,50.59,87,100,5.75,light intensity drizzle,2022-07-28 20:05:43
184,Shunyi,CN,40.125,116.6453,71.55,88,0,4.47,clear sky,2022-07-28 20:06:49
185,Fort Nelson,CA,58.8053,-122.7002,76.75,41,100,10.58,overcast clouds,2022-07-28 20:04:18
186,Mogadishu,SO,2.0371,45.3438,76.1,83,34,17.92,scattered clouds,2022-07-28 20:05:27
187,Hailey,US,43.5196,-114.3153,91.99,29,40,5.99,scattered clouds,2022-07-28 20:05:05
