City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Fereydun Kenar,IR,78.49,light rain,36.6864,52.5225,Khezer Shahr Tourist Hotel
515,Carmen,MX,89.64,scattered clouds,18.6333,-91.8333,Hotel Lossandes
516,Poum,NC,70.99,clear sky,-20.2333,164.0167,
517,Flin Flon,CA,79.56,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
518,Kodala,IN,81.57,overcast clouds,19.6333,84.95,PWD Bungalow
519,Muborak,UZ,85.35,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
521,Siderno,IT,79.34,clear sky,38.2779,16.302,Grand Hotel President
524,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
525,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Pousada Camboinha
527,San Carlos,VE,82.9,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
528,Melfort,CA,72.97,clear sky,52.8667,-104.6177,Carra Valla Inn
530,Ayutla,MX,73.99,overcast clouds,20.1167,-104.3333,Hotel Principal
531,Kamenka,RU,73.29,overcast clouds,51.3223,42.7678,
532,Male,MV,81.43,broken clouds,4.1748,73.5089,Hotel Octave Maldives
533,Qui Nhon,VN,78.6,scattered clouds,13.7667,109.2333,Seagull Hotel
534,Vaitape,PF,79.41,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
537,Borogontsy,RU,68.41,clear sky,62.6683,131.1683,
538,San Quintin,MX,74.26,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
539,Muroto,JP,80.08,scattered clouds,33.2833,134.15,Oota Ryokan
543,Sueca,ES,84.65,clear sky,39.2026,-0.3111,Casa Sueca
545,Wewak,PG,78.64,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
546,Stornoway,GB,60.76,broken clouds,58.2093,-6.3865,Caladh Inn
547,Taltal,CL,64.06,overcast clouds,-25.4,-70.4833,Residencial Karime
548,Gwadar,PK,82.08,overcast clouds,25.1216,62.3254,Sadaf Resort
550,Dobsina,SK,63.55,scattered clouds,48.8207,20.3699,Hotel Raj
552,Muzhi,RU,61.72,broken clouds,65.3667,64.6667,Gostinitsa
557,Carballo,ES,69.22,clear sky,43.213,-8.691,Pazo do Souto
558,Saint-Francois,FR,74.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
559,Chauk,MM,87.53,overcast clouds,20.8833,94.8167,Bo Khin Guest House
560,Zhangye,CN,72.73,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
562,Avrig,RO,66.85,scattered clouds,45.7167,24.3833,Gästehaus Orangerie Samuel von Brukenthal
563,Bam,IR,88.2,overcast clouds,29.106,58.357,Bam Tourist Hotel
564,San Miguel,SV,88.61,overcast clouds,13.4833,-88.1833,Excalibur
566,Hobyo,SO,75.97,broken clouds,5.3505,48.5268,Iftin hotel hobyo
567,Pangai,TO,76.39,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
568,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
569,Lapugiu De Jos,RO,69.01,overcast clouds,45.8833,22.4833,Popas Lăpugiu
570,Praya,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
571,Aykhal,RU,67.55,clear sky,66.0,111.5,
573,Ambunti,PG,71.98,scattered clouds,-4.2365,142.8448,AMBUNTI HIDE INN
574,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
576,Tongliao,CN,68.09,moderate rain,43.6125,122.2653,Meirujia Hotel
577,San Ramon De La Nueva Oran,AR,63.43,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
578,Juybar,IR,76.3,light rain,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
579,Qitaihe,CN,68.05,overcast clouds,45.8,130.85,Baiyun Hostel
580,Quelimane,MZ,67.08,overcast clouds,-17.8786,36.8883,Hotel Flamingo
581,Ilhabela,BR,75.43,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
584,Boldumsaz,TM,84.15,clear sky,42.1282,59.671,Sarar oba
585,Chapais,CA,62.38,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
586,Antalaha,MG,67.28,few clouds,-14.9003,50.2788,Hotel Vitasoa
587,Fare,PF,79.18,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
588,Yashkul,RU,79.07,clear sky,46.1711,45.3435,"Gostinitsa ""Putnik"""
589,Mbuguni,TZ,65.3,broken clouds,-3.5667,36.95,kaza Moyo Modern Resort
590,Davila,PH,81.25,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
592,Wanxian,CN,77.86,clear sky,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
593,Salinopolis,BR,81.84,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
594,Longkou,CN,76.6,moderate rain,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
595,Ixtapa,MX,89.22,scattered clouds,20.7,-105.2,hotel la terminal
596,High Level,CA,73.72,overcast clouds,58.5169,-117.136,Days Inn by Wyndham High Level
597,Matadi,CD,73.65,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
598,Agadir,MA,73.85,clear sky,30.4202,-9.5982,Iberostar Founty Beach
600,Karatau,KZ,76.15,clear sky,43.1667,70.4667,Baza Zika
602,Mikropolis,GR,78.3,overcast clouds,41.1935,23.8157,Καταφύγιο κυνηγών
603,Tondon,GN,73.74,broken clouds,10.3667,-13.35,
604,Along,IN,73.63,broken clouds,28.1667,94.7667,Hotel West
605,Jinan,CN,73.44,overcast clouds,36.6683,116.9972,Sofitel Silver Plaza Hotel Jinan
606,Morgantown,US,81.32,overcast clouds,39.6295,-79.9559,Morgantown Marriott at Waterfront Place
607,Nakamura,JP,77.38,few clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
608,Itanhem,BR,75.02,few clouds,-17.1664,-40.33,Hotel Resende
614,Soyo,AO,70.97,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
619,Piacabucu,BR,73.96,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
621,Champawat,IN,62.33,moderate rain,29.3333,80.1,Hotel Tejmaan
622,Bubaque,GW,79.99,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
623,Shu,KZ,77.04,clear sky,43.5983,73.7614,Shyngyzkhan
624,Rabo De Peixe,PT,72.91,scattered clouds,37.8,-25.5833,Quinta das Giestas
626,Taybad,IR,85.48,clear sky,34.74,60.7756,لی پوش jean center
627,Aktau,KZ,72.18,clear sky,43.65,51.2,Silk Way Hotel
628,Dubasari,MD,79.59,overcast clouds,47.2631,29.1608,Днестровский Сад
631,Ormara,PK,82.02,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
632,Strelka,RU,61.97,overcast clouds,58.0728,93.0344,"Gostinitsa ""Angara"""
636,Narimanov,RU,71.51,scattered clouds,46.6927,47.8498,Solnechnyi
639,Vostok,RU,64.17,overcast clouds,46.4856,135.8833,
640,Qiongshan,CN,80.01,broken clouds,20.0058,110.3542,Sun City Restaurant
642,Yangambi,CD,70.63,overcast clouds,0.8102,24.4336,
644,Aksu,CN,82.09,few clouds,41.1231,80.2644,Pudong Holiday Hotel
645,Naliya,IN,81.55,broken clouds,23.2667,68.8333,jadeja jayendrasinh
646,Pingliang,CN,64.76,broken clouds,35.5392,106.6861,North Gate Hostel
649,Lahti,RU,62.1,clear sky,59.9911,30.1597,Olgino Hotel
650,Bougouni,ML,77.81,broken clouds,11.417,-7.479,Non Stop
651,Mapimi,MX,85.95,few clouds,25.8167,-103.85,Propiedad Lldm
653,Sol-Iletsk,RU,68.9,clear sky,51.1631,54.9918,Raduzhnaya
654,Lake Charles,US,84.18,scattered clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
655,Meadow Lake,US,89.46,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
657,Palasbari,IN,80.65,mist,26.1361,91.5486,Manash Pratim Kalita
659,Dhidhdhoo,MV,80.92,overcast clouds,6.8833,73.1,Dhidhoo beach
660,Yongan,CN,63.95,clear sky,39.6957,113.6871,Beiyue International Hotel
661,Drayton Valley,CA,81.39,clear sky,53.2168,-114.9854,Service Plus Inns & Suites (Drayton Valley Hotel)
662,Santa Cruz,BO,87.26,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
664,Kudat,MY,78.69,overcast clouds,6.8837,116.8477,Dream Garden Hotel
668,Tateyama,JP,78.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
669,Richards Bay,ZA,66.97,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
670,Moindou,NC,65.16,clear sky,-21.6924,165.677,Equi-lodge de Moindou
671,Villa Bruzual,VE,83.03,overcast clouds,9.3328,-69.1208,hotel italia
672,Mankono,CI,72.19,scattered clouds,8.0586,-6.1897,Hôtel cotonputeur
673,Portsoy,GB,63.18,overcast clouds,57.6814,-2.6896,"Station Hotel, Portsoy"
674,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
675,Banda Aceh,ID,77.77,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
676,Sept-Iles,CA,64.06,scattered clouds,50.2001,-66.3821,Comfort Inn
679,Coos Bay,US,81.32,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
680,Methoni,GR,85.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
681,Marawi,PH,69.1,overcast clouds,7.9986,124.2928,Derogongan Residence
682,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
683,Kinsale,IE,63.23,scattered clouds,51.7075,-8.5306,Actons Hotel Kinsale
684,Buala,SB,79.93,light rain,-8.145,159.5921,Maringe Lagoon Lodge
686,La Ronge,CA,69.91,broken clouds,55.1001,-105.2842,Northland Motor Hotel
687,Seeheim-Jugenheim,DE,76.48,overcast clouds,49.765,8.6519,Lufthansa Seeheim GmbH
688,Hambantota,LK,78.48,overcast clouds,6.1241,81.1185,Bungalow 63
